ida_id,name,jurisdiction,state
IDA_B249EDBE,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Karnataka,Karnataka
IDA_A6E69E05,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),Karnataka,Karnataka
IDA_659FB03E,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),Bihar,Bihar
IDA_B5A31167,DAKSHIN DINAJPUR(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA),West Bengal,West Bengal
IDA_018172D2,DAHOD(DISTRICT COLLECTOR DOHAD_IDA),Gujarat,Gujarat
IDA_DF12AFBE,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Punjab,Punjab
IDA_1337B10E,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),Punjab,Punjab
IDA_80366E76,KHARGONE (WEST NIMAR)(DISTRICT COLLECTOR KHARGONE_IDA),Madhya Pradesh,Madhya Pradesh
IDA_8CF7CA27,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Madhya Pradesh,Madhya Pradesh
IDA_91D4B190,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Bihar,Bihar
IDA_4819CF51,BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA),Bihar,Bihar
IDA_5089D112,KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),Bihar,Bihar
IDA_E3F0716F,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),Kerala,Kerala
IDA_BBD4FA6F,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Kerala,Kerala
IDA_6E1FC0CC,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),Tamil Nadu,Tamil Nadu
IDA_7F726553,SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),Haryana,Haryana
IDA_15B8C300,SOUTH 24 PARGANAS(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),West Bengal,West Bengal
IDA_54689C53,PALI(DISTRICT COLLECTOR PALI_IDA),Rajasthan,Rajasthan
IDA_DD79BB25,JHAJJAR(DEPUTY COMMISSIONER CUM NODAL OFFICER MPLADS JHAJJAR),Haryana,Haryana
IDA_8334A202,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),West Bengal,West Bengal
IDA_8067C177,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),Rajasthan,Rajasthan
IDA_1CD42993,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Kerala,Kerala
IDA_2A617B6C,SAKTI(COLLECTOR SAKTI_IDA),Chhattisgarh,Chhattisgarh
IDA_501003ED,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),Chhattisgarh,Chhattisgarh
IDA_27FE9B88,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),Tamil Nadu,Tamil Nadu
IDA_FC15E209,PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA),Bihar,Bihar
IDA_A7BDB54C,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Andhra Pradesh,Andhra Pradesh
IDA_2862F717,TIRUPATHUR(DISTRICT COLLECTOR TIRUPATHUR_IDA),Tamil Nadu,Tamil Nadu
IDA_F9F1FD7E,REWARI(DISTRICT COMMISSIONER REWARI),Haryana,Haryana
IDA_A185C1B2,ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA),Haryana,Haryana
IDA_4F3749F0,PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA),Maharashtra,Maharashtra
IDA_4DF43721,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Uttar Pradesh,Uttar Pradesh
IDA_FB6ED975,COOCH BEHAR(DISTRICT MAGISTRATE COOCHBEHAR_IDA),West Bengal,West Bengal
IDA_3164B2F7,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),West Bengal,West Bengal
IDA_5CF21F48,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Punjab,Punjab
IDA_A2A7322F,NORTH 24 PARGANAS(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),West Bengal,West Bengal
