alias_id,ida_id,original_name,normalized_name,confidence_score,verified
IDA_ALIAS_000001,IDA_000001,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),khordhadistrict collector khordhaida,1.0,True
IDA_ALIAS_000002,IDA_000002,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),nainitaldistrict magistrate nainitalida,1.0,True
IDA_ALIAS_000003,IDA_000003,MAU(DISTRICT MAGISTRATE MAU_IDA),maudistrict magistrate mauida,1.0,True
IDA_ALIAS_000004,IDA_000004,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),dehradundistrict magistrate dehradunida,1.0,True
IDA_ALIAS_000005,IDA_000005,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),patnadistrict planning officer patnaida,1.0,True
IDA_ALIAS_000006,IDA_000006,SAGAR(DISTRICT COLLECTOR SAGAR_IDA),sagardistrict collector sagarida,1.0,True
IDA_ALIAS_000007,IDA_000007,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),patialadeputy commissioner patialaida,1.0,True
IDA_ALIAS_000008,IDA_000008,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),sonbhadradistrict magistrate sonbhadraida,1.0,True
IDA_ALIAS_000009,IDA_000009,ROHTAS(DISTRICT PLANNING OFFICER ROHTAS_IDA),rohtasdistrict planning officer rohtasida,1.0,True
IDA_ALIAS_000010,IDA_000010,CACHAR(DEPUTY COMMISSIONER CACHAR_IDA),cachardeputy commissioner cacharida,1.0,True
IDA_ALIAS_000011,IDA_000011,CHARAIDEO(DEPUTY COMMISSIONER CHARAIDEO_IDA),charaideodeputy commissioner charaideoida,1.0,True
IDA_ALIAS_000012,IDA_000012,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),faridkotdeputy commissioner faridkotida,1.0,True
IDA_ALIAS_000013,IDA_000013,NALGONDA(DISTRICT COLLECTOR NALGONDA),nalgondadistrict collector nalgonda,1.0,True
IDA_ALIAS_000014,IDA_000014,SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA),saharsadistrict planning officer saharsaida,1.0,True
IDA_ALIAS_000015,IDA_000015,KENDRAPADA(DISTRICT COLLECTOR KENDRAPARA_IDA),kendrapadadistrict collector kendraparaida,1.0,True
IDA_ALIAS_000016,IDA_000016,AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA),aurangabaddistrict planning officer aurangabadida,1.0,True
IDA_ALIAS_000017,IDA_000017,PURI(DISTRICT COLLECTOR PURI_IDA),puridistrict collector puriida,1.0,True
IDA_ALIAS_000018,IDA_000018,SURAT(DISTRICT COLLECTOR SURAT_IDA),suratdistrict collector suratida,1.0,True
IDA_ALIAS_000019,IDA_000019,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),pratapgarhdistrict magistrae pratapgarhida,1.0,True
IDA_ALIAS_000020,IDA_000020,NIRMAL(DISTRICT COLLECTOR NIRMAL_3),nirmaldistrict collector nirmal3,1.0,True
IDA_ALIAS_000021,IDA_000021,"BILASPUR(DEPUTY COMMISSIONER, BILASPUR)",bilaspurdeputy commissioner bilaspur,1.0,True
IDA_ALIAS_000022,IDA_000022,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),pathanamthittadistrict collector pathanamthittaida,1.0,True
IDA_ALIAS_000023,IDA_000023,MOGA(DEPUTY COMMISSIONER MOGA),mogadeputy commissioner moga,1.0,True
IDA_ALIAS_000024,IDA_000024,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),vadodaradistrict collector vadodaraida,1.0,True
IDA_ALIAS_000025,IDA_000025,KODERMA(DEPUTY COMMISSIONER KODARMA_IDA),kodermadeputy commissioner kodarmaida,1.0,True
IDA_ALIAS_000026,IDA_000026,SARAIKELA KHARSAWAN(DEPUTY COMMISSIONER SARAIKELA_IDA),saraikela kharsawandeputy commissioner saraikelaida,1.0,True
IDA_ALIAS_000027,IDA_000027,MADHEPURA(DISTRICT PLANNING OFFICER MADHEPURA_IDA),madhepuradistrict planning officer madhepuraida,1.0,True
IDA_ALIAS_000028,IDA_000028,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),alwardistrict collector alwarida,1.0,True
IDA_ALIAS_000029,IDA_000029,GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA),gandhinagardistrict collector gandhinagarida,1.0,True
IDA_ALIAS_000030,IDA_000030,SEONI(DISTRICT COLLECTOR SEONI_IDA),seonidistrict collector seoniida,1.0,True
IDA_ALIAS_000031,IDA_000031,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),jabalpurdistrict collector jabalpurida,1.0,True
IDA_ALIAS_000032,IDA_000032,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),mahobadistrict magistrae mahobaida,1.0,True
IDA_ALIAS_000033,IDA_000033,ANAKAPALLI(DISTRICT COLLECTOR ANAKAPALLI_IDA),anakapallidistrict collector anakapalliida,1.0,True
IDA_ALIAS_000034,IDA_000034,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),kalahandidistrict collector kalahandiida,1.0,True
IDA_ALIAS_000035,IDA_000035,NAYAGADA(DISTRICT COLLECTOR  NAYAGARH_IDA),nayagadadistrict collector nayagarhida,1.0,True
IDA_ALIAS_000036,IDA_000036,BARAGADA(DISTRICT COLLECTOR BARAGARH_IDA),baragadadistrict collector baragarhida,1.0,True
IDA_ALIAS_000037,IDA_000037,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),tiruvannamalaidistrict collector tiruvannamalaiida,1.0,True
IDA_ALIAS_000038,IDA_000038,SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA),sirmaurdeputy commissioner sirmourida,1.0,True
IDA_ALIAS_000039,IDA_000039,KATAKA(DISTRICT COLLECTOR CUTTACK_IDA),katakadistrict collector cuttackida,1.0,True
IDA_ALIAS_000040,IDA_000040,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),banas kanthadistrict collector banas kanthaida,1.0,True
IDA_ALIAS_000041,IDA_000041,PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA),prakasamdistrict collector prakasamida,1.0,True
IDA_ALIAS_000042,IDA_000042,MORBI(DISTRICT COLLECTOR MORBI_IDA),morbidistrict collector morbiida,1.0,True
IDA_ALIAS_000043,IDA_000043,CHARKHI DADRI(DEPUTY COMMISSIONER CHARKHI DADRI_IDA),charkhi dadrideputy commissioner charkhi dadriida,1.0,True
IDA_ALIAS_000044,IDA_000044,RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA),rajkotdistrict collector rajkotida,1.0,True
IDA_ALIAS_000045,IDA_000045,TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),tiruchirappallidistrict collector tiruchirappalliida,1.0,True
IDA_ALIAS_000046,IDA_000046,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),rajgarhdistrict collector rajgarhida,1.0,True
IDA_ALIAS_000047,IDA_000047,MANSA(DEPUTY COMMISSIONER MANSA_IDA),mansadeputy commissioner mansaida,1.0,True
IDA_ALIAS_000048,IDA_000048,FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA),firozabaddistrict magistrate firozabadida,1.0,True
IDA_ALIAS_000049,IDA_000049,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),madhubanidistrict planning officer madhubaniida,1.0,True
IDA_ALIAS_000050,IDA_000050,PUNE(DISTRICT COLLECTOR PUNE_IDA),punedistrict collector puneida,1.0,True
IDA_ALIAS_000051,IDA_000051,KHERI(DISTRICT MAGISTRAE KHERI_IDA),kheridistrict magistrae kheriida,1.0,True
IDA_ALIAS_000052,IDA_000052,AMRELI(DISTRICT COLLECTOR AMRELI_IDA),amrelidistrict collector amreliida,1.0,True
IDA_ALIAS_000053,IDA_000053,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),kaushambidistrict magistrae kaushambiida,1.0,True
IDA_ALIAS_000054,IDA_000054,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),sambhaldistrict magistrae bhimnagar sambhalida,1.0,True
IDA_ALIAS_000055,IDA_000055,PANCHKULA(DRDA PANCHKULA),panchkuladrda panchkula,1.0,True
IDA_ALIAS_000056,IDA_000056,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),mainpuridistrict magistrate mainpuriida,1.0,True
IDA_ALIAS_000057,IDA_000057,KALIMPONG(DISTRICT MAGISTRATE KALIMPONG_IDA),kalimpongdistrict magistrate kalimpongida,1.0,True
IDA_ALIAS_000058,IDA_000058,TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),tiruppurdistrict collector tiruppurida,1.0,True
IDA_ALIAS_000059,IDA_000059,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),palakkaddistrict collector palakkadida,1.0,True
IDA_ALIAS_000060,IDA_000060,SOUTH 24 PARGANAS(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),south 24 parganasdistrict magistrate south twenty four parganasida,1.0,True
IDA_ALIAS_000061,IDA_000061,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),chhindwaradistrict collector chhindwaraida,1.0,True
IDA_ALIAS_000062,IDA_000062,TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA),tikamgarhdistrict collector tikamgarhida,1.0,True
IDA_ALIAS_000063,IDA_000063,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),ludhianadeputy commissioner ludhianaida,1.0,True
IDA_ALIAS_000064,IDA_000064,SIDDHARTHNAGAR(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA),siddharthnagardistrict magistrate siddharth nagarida,1.0,True
IDA_ALIAS_000065,IDA_000065,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),kannurdistrict collector kannurida,1.0,True
IDA_ALIAS_000066,IDA_000066,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),hamirpurdeputy commissioner hamirpurida,1.0,True
IDA_ALIAS_000067,IDA_000067,NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA),north goadistrict collector north goaida,1.0,True
IDA_ALIAS_000068,IDA_000068,SUNDARAGADA(DISTRICT COLLECTOR SUNDARGARH_IDA),sundaragadadistrict collector sundargarhida,1.0,True
IDA_ALIAS_000069,IDA_000069,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),murshidabaddistrict magistrate murshidabadida,1.0,True
IDA_ALIAS_000070,IDA_000070,BETUL(DISTRICT COLLECTOR BETUL_IDA),betuldistrict collector betulida,1.0,True
IDA_ALIAS_000071,IDA_000071,DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA),dungarpurdistrict collector dungarpurida,1.0,True
IDA_ALIAS_000072,IDA_000072,NORTH 24 PARGANAS(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),north 24 parganasdistrict magistrate north twenty four parganasida,1.0,True
IDA_ALIAS_000073,IDA_000073,ANANTHAPURAMU(DISTRICT COLLECTOR ANANTAPUR_IDA),ananthapuramudistrict collector anantapurida,1.0,True
IDA_ALIAS_000074,IDA_000074,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),ernakulamdistrict collector ernakulamida,1.0,True
IDA_ALIAS_000075,IDA_000075,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),dharwaddeputy commissioner dharwarida,1.0,True
IDA_ALIAS_000076,IDA_000076,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),shimladeputy commissioner shimlaida,1.0,True
IDA_ALIAS_000077,IDA_000077,BHIWANI(DC CUM NODAL OFFICER MPLADS BHIWANI),bhiwanidc cum nodal officer mplads bhiwani,1.0,True
IDA_ALIAS_000078,IDA_000078,DHULE(DISTRICT COLLECTOR DHULE_IDA),dhuledistrict collector dhuleida,1.0,True
IDA_ALIAS_000079,IDA_000079,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),hisardeputy commissioner hissarida,1.0,True
IDA_ALIAS_000080,IDA_000080,DURG(DISTRICT COLLECTOR DURG_IDA),durgdistrict collector durgida,1.0,True
IDA_ALIAS_000081,IDA_000081,HAPUR(DISTRICT MAGISTRATE HAPUR_IDA),hapurdistrict magistrate hapurida,1.0,True
IDA_ALIAS_000082,IDA_000082,AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),ambedkar nagardistrict magistrate ambedkar nagarida,1.0,True
IDA_ALIAS_000083,IDA_000083,MADURAI(DISTRICT COLLECTOR MADURAI_IDA),maduraidistrict collector maduraiida,1.0,True
IDA_ALIAS_000084,IDA_000084,SIRSA(DEPUTY COMMISSIONER SIRSA_IDA),sirsadeputy commissioner sirsaida,1.0,True
IDA_ALIAS_000085,IDA_000085,KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA),koppaldeputy commissioner koppalida,1.0,True
IDA_ALIAS_000086,IDA_000086,SUPAUL(DISTRICT PLANNING OFFICER SUPAUL_IDA),supauldistrict planning officer supaulida,1.0,True
IDA_ALIAS_000087,IDA_000087,HASSAN(DEPUTY COMMISSIONER HASSAN_IDA),hassandeputy commissioner hassanida,1.0,True
IDA_ALIAS_000088,IDA_000088,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),gayadistrict planning officer gayaida,1.0,True
IDA_ALIAS_000089,IDA_000089,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),purba bardhamandistrict magistrate purba bardhamanida,1.0,True
IDA_ALIAS_000090,IDA_000090,NARSIMHAPUR(DISTRICT COLLECTOR NARSINGHPUR_IDA),narsimhapurdistrict collector narsinghpurida,1.0,True
IDA_ALIAS_000091,IDA_000091,KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA),kapurthaladeputy commissioner kapurthalaida,1.0,True
IDA_ALIAS_000092,IDA_000092,CHENGALPATTU(DISTRICT COLLECTOR CHENGALPATTU_IDA),chengalpattudistrict collector chengalpattuida,1.0,True
IDA_ALIAS_000093,IDA_000093,LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA),lakhimpurdeputy commissioner lakhimpurida,1.0,True
IDA_ALIAS_000094,IDA_000094,SIDDIPET(DISTRICT COLLECTOR SIDDIPET_IDA),siddipetdistrict collector siddipetida,1.0,True
IDA_ALIAS_000095,IDA_000095,Y.S.R. KADAPA(DISTRICT COLLECTOR CUDDAPAH_IDA),ysr kadapadistrict collector cuddapahida,1.0,True
IDA_ALIAS_000096,IDA_000096,MANDI(DEPUTY COMMISSIONER MANDI_IDA),mandideputy commissioner mandiida,1.0,True
IDA_ALIAS_000097,IDA_000097,BALESHWAR(DISTRICT COLLECTOR BALESHWAR_IDA),baleshwardistrict collector baleshwarida,1.0,True
IDA_ALIAS_000098,IDA_000098,WARANGAL(DISTRICT COLLECTOR WARANGAL_IDA),warangaldistrict collector warangalida,1.0,True
IDA_ALIAS_000099,IDA_000099,RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA),ramanathapuramdistrict collector ramanathapuramida,1.0,True
IDA_ALIAS_000100,IDA_000100,SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA),sabar kanthadistrict collector sabarkanthaida,1.0,True
IDA_ALIAS_000101,IDA_000101,"EAST KHASI HILLS(DEPUTY COMMISSIONER, EAST KHASI HILLS DISTRICT)",east khasi hillsdeputy commissioner east khasi hills district,1.0,True
IDA_ALIAS_000102,IDA_000102,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),ghazipurdistrict magistrae ghazipurida,1.0,True
IDA_ALIAS_000103,IDA_000103,NEW DELHI(COMMISSIONER MCD NEW DELHI),new delhicommissioner mcd new delhi,1.0,True
IDA_ALIAS_000104,IDA_000104,GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA),gir somnathdistrict collector gir somnathida,1.0,True
IDA_ALIAS_000105,IDA_000105,KORAPUT(DISTRICT COLLECTOR KORAPUT_IDA),koraputdistrict collector koraputida,1.0,True
IDA_ALIAS_000106,IDA_000106,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),deoghardeputy commissioner deogharida,1.0,True
IDA_ALIAS_000107,IDA_000107,PURBA MEDINIPUR(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA),purba medinipurdistrict magistrate purba medinipurida,1.0,True
IDA_ALIAS_000108,IDA_000108,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),krishnadistrict collector krishnaida,1.0,True
IDA_ALIAS_000109,IDA_000109,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),dhanbaddeputy commissioner dhanbadida,1.0,True
IDA_ALIAS_000110,IDA_000110,SAMBA(DEPUTY COMMISSIONER SAMBA_IDA),sambadeputy commissioner sambaida,1.0,True
IDA_ALIAS_000111,IDA_000111,JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA),jaipurdistrict collector jaipurida,1.0,True
IDA_ALIAS_000112,IDA_000112,SIROHI(DISTRICT COLLECTOR SIROHI_IDA),sirohidistrict collector sirohiida,1.0,True
IDA_ALIAS_000113,IDA_000113,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),etawahdistrict magistrate etawahida,1.0,True
IDA_ALIAS_000114,IDA_000114,SHAHPURA(DISTRICT COLLECTOR SHAHPURA_IDA),shahpuradistrict collector shahpuraida,1.0,True
IDA_ALIAS_000115,IDA_000115,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),kottayamdistrict collector kottayamida,1.0,True
IDA_ALIAS_000116,IDA_000116,NADIA(DISTRICT MAGISTRATE NADIA_IDA),nadiadistrict magistrate nadiaida,1.0,True
IDA_ALIAS_000117,IDA_000117,NANDYAL(DISTRICT COLLECTOR NANDYAL_IDA),nandyaldistrict collector nandyalida,1.0,True
IDA_ALIAS_000118,IDA_000118,WEST GODAVARI(DISTRICT COLLECTOR WEST GODAVARI_IDA),west godavaridistrict collector west godavariida,1.0,True
IDA_ALIAS_000119,IDA_000119,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),west garo hillsdeputy commissioner west garo hillsida,1.0,True
IDA_ALIAS_000120,IDA_000120,KASGANJ(DISTRICT MAGISTRATE KASGANJ KANSHIRAMNAGAR_IDA),kasganjdistrict magistrate kasganj kanshiramnagarida,1.0,True
IDA_ALIAS_000121,IDA_000121,VAV-THARAD(DISTRICT COLLECTOR VAV-THARAD),vavtharaddistrict collector vavtharad,1.0,True
IDA_ALIAS_000122,IDA_000122,GONDIA(DISTRICT COLLECTOR GONDIA_IDA),gondiadistrict collector gondiaida,1.0,True
IDA_ALIAS_000123,IDA_000123,NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA),nalandadistrict planning officer nalandaida,1.0,True
IDA_ALIAS_000124,IDA_000124,SOUTH(COMMISSIONER SOUTH),southcommissioner south,1.0,True
IDA_ALIAS_000125,IDA_000125,JOGULAMBA GADWAL(DISTRICT COLLECTOR JOGULAMBA GADWAL_IDA),jogulamba gadwaldistrict collector jogulamba gadwalida,1.0,True
IDA_ALIAS_000126,IDA_000126,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),chambadeputy commissioner chambaida,1.0,True
IDA_ALIAS_000127,IDA_000127,MALDA(DISTRICT MAGISTRATE MALDA_IDA),maldadistrict magistrate maldaida,1.0,True
IDA_ALIAS_000128,IDA_000128,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),birbhumdistrict magistrate birbhumida,1.0,True
IDA_ALIAS_000129,IDA_000129,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),gurdaspurdeputy commissioner gurdaspurida,1.0,True
IDA_ALIAS_000130,IDA_000130,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),bokarodeputy commissioner bokaroida,1.0,True
IDA_ALIAS_000131,IDA_000131,JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA),jaisalmerdistrict collector jaislamerida,1.0,True
IDA_ALIAS_000132,IDA_000132,KACHCHH(DISTRICT COLLECTOR KUTCH_IDA),kachchhdistrict collector kutchida,1.0,True
IDA_ALIAS_000133,IDA_000133,DHARASHIV(DISTRICT COLLECTOR OSMANABAD_IDA),dharashivdistrict collector osmanabadida,1.0,True
IDA_ALIAS_000134,IDA_000134,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),nizamabaddistrict collector nizamabadida,1.0,True
IDA_ALIAS_000135,IDA_000135,PARVATHIPURAM MANYAM(DISTRICT COLLECTOR PARVATHIPURAM MANYAM_IDA),parvathipuram manyamdistrict collector parvathipuram manyamida,1.0,True
IDA_ALIAS_000136,IDA_000136,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),thiruvallurdistrict collector tiruvallurida,1.0,True
IDA_ALIAS_000137,IDA_000137,THANE(DISTRICT COLLECTOR THANE_IDA),thanedistrict collector thaneida,1.0,True
IDA_ALIAS_000138,IDA_000138,AGRA(DISTRICT MAGISTRAE AGRA_IDA),agradistrict magistrae agraida,1.0,True
IDA_ALIAS_000139,IDA_000139,SRI POTTI SRIRAMULU NELLORE(DISTRICT COLLECTOR NELLORE_IDA),sri potti sriramulu nelloredistrict collector nelloreida,1.0,True
IDA_ALIAS_000140,IDA_000140,GANGAPURCITY(DISTRICT COLLECTOR GANGAPUR CITY_IDA),gangapurcitydistrict collector gangapur cityida,1.0,True
IDA_ALIAS_000141,IDA_000141,NARAYANPET(DISTRICT COLLECTOR NARAYANPET_IDA),narayanpetdistrict collector narayanpetida,1.0,True
IDA_ALIAS_000142,IDA_000142,NORTH GARO HILLS(DEPUTY COMMISSIONER NORTH GARO HILLS RESUBELPARA_IDA),north garo hillsdeputy commissioner north garo hills resubelparaida,1.0,True
IDA_ALIAS_000143,IDA_000143,SATNA(DISTRICT COLLECTOR SATNA_IDA),satnadistrict collector satnaida,1.0,True
IDA_ALIAS_000144,IDA_000144,NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA),nagarkurnooldistrict collector nagarkurnoolida,1.0,True
IDA_ALIAS_000145,IDA_000145,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),jaunpurdistrict magistrate jaunpurida,1.0,True
IDA_ALIAS_000146,IDA_000146,CHATRA(DEPUTY COMMISSIONER CHATRA_IDA),chatradeputy commissioner chatraida,1.0,True
IDA_ALIAS_000147,IDA_000147,KUSHINAGAR(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),kushinagardistrict magistrate kushinagar padraunaida,1.0,True
IDA_ALIAS_000148,IDA_000148,PALWAL(CEO DRDA MPLADS PALWAL),palwalceo drda mplads palwal,1.0,True
IDA_ALIAS_000149,IDA_000149,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),malappuramdistrict collector malappuramida,1.0,True
IDA_ALIAS_000150,IDA_000150,RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA),raipurdistrict collector raipurida,1.0,True
IDA_ALIAS_000151,IDA_000151,THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA),the nilgirisdistrict collector nilgirisida,1.0,True
IDA_ALIAS_000152,IDA_000152,SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA),south goadistrict collector south goaida,1.0,True
IDA_ALIAS_000153,IDA_000153,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),ferozepurdeputy commissioner firozepurida,1.0,True
IDA_ALIAS_000154,IDA_000154,DAMOH(DISTRICT COLLECTOR DAMOH_IDA),damohdistrict collector damohida,1.0,True
IDA_ALIAS_000155,IDA_000155,SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA),shivamoggadeputy commissioner shimogaida,1.0,True
IDA_ALIAS_000156,IDA_000156,GIRIDIH(DEPUTY COMMISSIONER GIRIDH_IDA),giridihdeputy commissioner giridhida,1.0,True
IDA_ALIAS_000157,IDA_000157,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),kurnooldistrict collector kurnoolida,1.0,True
IDA_ALIAS_000158,IDA_000158,VILUPPURAM(DISTRICT COLLECTOR VILLUPURAM_IDA),viluppuramdistrict collector villupuramida,1.0,True
IDA_ALIAS_000159,IDA_000159,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),mahesanadistrict collector mahesanaida,1.0,True
IDA_ALIAS_000160,IDA_000160,MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),mahabubabaddistrict collector mahabubabadida,1.0,True
IDA_ALIAS_000161,IDA_000161,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),bijnordistrict magistrate bijnorida,1.0,True
IDA_ALIAS_000162,IDA_000162,NUAPADA(DISTRICT COLLECTOR  NUAPADA_IDA),nuapadadistrict collector nuapadaida,1.0,True
IDA_ALIAS_000163,IDA_000163,UTTAR DINAJPUR(DISTRICT MAGISTRATE UTTAR DINAJPUR_IDA),uttar dinajpurdistrict magistrate uttar dinajpurida,1.0,True
IDA_ALIAS_000164,IDA_000164,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),ranchideputy commissioner ranchiida,1.0,True
IDA_ALIAS_000165,IDA_000165,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),yadadri bhuvanagiridistrict collector yadadri bhuvanagiriida,1.0,True
IDA_ALIAS_000166,IDA_000166,SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),sonipatdeputy commissioner sonepatida,1.0,True
IDA_ALIAS_000167,IDA_000167,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),haridwardistrict magistrate haridwarida,1.0,True
IDA_ALIAS_000168,IDA_000168,BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA),balangirdistrict collector bolangirida,1.0,True
IDA_ALIAS_000169,IDA_000169,JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),jamuidistrict planning officer jamuiida,1.0,True
IDA_ALIAS_000170,IDA_000170,RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA),rampurdistrict magistrate rampurida,1.0,True
IDA_ALIAS_000171,IDA_000171,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),barwanidistrict collector badwaniida,1.0,True
IDA_ALIAS_000172,IDA_000172,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),bulandshahrdistrict magistrate bulandshahrida,1.0,True
IDA_ALIAS_000173,IDA_000173,CHHATRAPATI SAMBHAJINAGAR(DISTRICT COLLECTOR AURANGABAD_IDA),chhatrapati sambhajinagardistrict collector aurangabadida,1.0,True
IDA_ALIAS_000174,IDA_000174,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),sri muktsar sahibdeputy commissioner sri muktsar sahibida,1.0,True
IDA_ALIAS_000175,IDA_000175,UDUPI(DEPUTY COMMISSIONER UDUPI_IDA),udupideputy commissioner udupiida,1.0,True
IDA_ALIAS_000176,IDA_000176,MAMIT(DEPUTY COMMISSIONER MAMIT),mamitdeputy commissioner mamit,1.0,True
IDA_ALIAS_000177,IDA_000177,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),kangradeputy commissioner kangraida,1.0,True
IDA_ALIAS_000178,IDA_000178,SURGUJA(COLLECTOR SURGUJA_IDA),surgujacollector surgujaida,1.0,True
IDA_ALIAS_000179,IDA_000179,PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA),pashchim champarandistrict planning officer west champaranbettiahida,1.0,True
