parliament,state,mp_name,work_count,sanctioned_work_count,completed_work_count,total_sanctioned_amount,total_expenditure,avg_sanctioned_amount,completion_rate,utilization_rate
lok_sabha,Andaman and Nicobar Islands,Bishnu Pada Ray,27,13,0,36232528.0,0.0,2787117.5384615385,0.0,0.0
lok_sabha,Andhra Pradesh,Ambica G Lakshminarayana Valmiki,107,107,35,78430434.0,0.0,732994.7102803738,0.327,0.0
lok_sabha,Andhra Pradesh,Appalanaidu Kalisetti,82,67,26,36452251.0,0.0,544063.4477611941,0.317,0.0
lok_sabha,Andhra Pradesh,B K Parthasarathi,63,59,40,44123960.0,0.0,747863.7288135593,0.635,0.0
lok_sabha,Andhra Pradesh,Balashowry Vallabbhaneni,48,41,7,26120859.0,0.0,637094.1219512195,0.146,0.0
lok_sabha,Andhra Pradesh,Bastipati Nagaraju Panchalingala,25,23,18,19241704.0,0.0,836595.8260869565,0.72,0.0
lok_sabha,Andhra Pradesh,Bhupathiraju Srinivasa Varma,1,1,0,12000000.0,0.0,12000000.0,0.0,0.0
lok_sabha,Andhra Pradesh,Byreddy Shabari,106,103,39,53620493.0,0.0,520587.31067961163,0.368,0.0
lok_sabha,Andhra Pradesh,C.M.Ramesh,39,39,14,43734763.0,0.0,1121404.1794871795,0.359,0.0
lok_sabha,Andhra Pradesh,Chandra Sekhar Pemmasani,58,56,6,70349906.0,0.0,1256248.3214285714,0.103,0.0
lok_sabha,Andhra Pradesh,Daggubati Purandeshwari,20,15,3,43000000.0,0.0,2866666.6666666665,0.15,0.0
lok_sabha,Andhra Pradesh,Daggumalla Prasada Rao,187,113,87,79906420.0,0.0,707136.4601769912,0.465,0.0
lok_sabha,Andhra Pradesh,Gm Harish Balayogi,71,70,35,66655023.0,0.0,952214.6142857143,0.493,0.0
lok_sabha,Andhra Pradesh,Gumma Thanuja Rani,105,98,24,72200615.0,0.0,736740.9693877551,0.229,0.0
lok_sabha,Andhra Pradesh,Kinjarapu Ram Mohan Naidu,100,92,34,60962462.0,0.0,662635.4565217391,0.34,0.0
lok_sabha,Andhra Pradesh,Krishna Prasad Tenneti,60,51,6,54182500.0,0.0,1062401.9607843137,0.1,0.0
lok_sabha,Andhra Pradesh,Lavu Sri Krishna Devarayalu,62,7,1,6638128.0,0.0,948304.0,0.016,0.0
lok_sabha,Andhra Pradesh,Maddila Gurumoorthy,131,103,70,54942716.0,0.0,533424.427184466,0.534,0.0
lok_sabha,Andhra Pradesh,Magunta Sreenivasulu Reddy,12,11,1,15460400.0,0.0,1405490.9090909092,0.083,0.0
lok_sabha,Andhra Pradesh,Midhun Reddy,376,356,136,109304588.0,0.0,307035.3595505618,0.362,0.0
lok_sabha,Andhra Pradesh,Prabhakar Reddy Vemireddy,96,96,76,68226987.0,0.0,710697.78125,0.792,0.0
lok_sabha,Andhra Pradesh,Putta Mahesh Kumar,100,72,7,73231616.0,0.0,1017105.7777777778,0.07,0.0
lok_sabha,Andhra Pradesh,Sivanath Kesineni,24,12,1,33642032.0,0.0,2803502.6666666665,0.042,0.0
lok_sabha,Andhra Pradesh,Sribharat Mathukumli,28,25,0,52015000.0,0.0,2080600.0,0.0,0.0
lok_sabha,Andhra Pradesh,Tangella Uday Srinivas,15,15,5,32589800.0,0.0,2172653.3333333335,0.333,0.0
lok_sabha,Andhra Pradesh,Y S Avinash Reddy,226,158,49,68730351.0,0.0,435002.2215189873,0.217,0.0
lok_sabha,Arunachal Pradesh,Kiren Rijiju,93,92,85,67482837.0,0.0,733509.0978260869,0.914,0.0
lok_sabha,Arunachal Pradesh,Tapir Gao,152,105,98,93493352.0,0.0,890412.8761904762,0.645,0.0
lok_sabha,Assam,Amarsing Tisso,66,56,32,64683742.0,0.0,1155066.8214285714,0.485,0.0
lok_sabha,Assam,Bijuli Kalita Medhi,88,61,5,61900000.0,0.0,1014754.0983606557,0.057,0.0
lok_sabha,Assam,Dilip Saikia,117,79,5,26050000.0,0.0,329746.83544303797,0.043,0.0
lok_sabha,Assam,Gaurav Gogoi,383,279,31,61745782.0,0.0,221311.04659498206,0.081,0.0
lok_sabha,Assam,Joyanta Basumatary,81,44,12,47174156.0,0.0,1072139.9090909092,0.148,0.0
lok_sabha,Assam,Kamakhya Prasad Tasa,75,57,0,60574000.0,0.0,1062701.754385965,0.0,0.0
lok_sabha,Assam,Kripanath Mallah,31,12,0,18650000.0,0.0,1554166.6666666667,0.0,0.0
lok_sabha,Assam,Parimal Suklabaidya,82,30,0,21600000.0,0.0,720000.0,0.0,0.0
lok_sabha,Assam,Phani Bhusan Choudhury,61,45,3,42808000.0,0.0,951288.8888888889,0.049,0.0
lok_sabha,Assam,Pradan Baruah,62,48,16,36399800.0,0.0,758329.1666666666,0.258,0.0
lok_sabha,Assam,Pradyut Bordoloi,110,96,13,42774000.0,0.0,445562.5,0.118,0.0
lok_sabha,Assam,Rakibul Hussain,76,60,7,30547919.0,0.0,509131.98333333334,0.092,0.0
lok_sabha,Assam,Ranjit Dutta,98,89,18,80029518.0,0.0,899208.0674157303,0.184,0.0
lok_sabha,Assam,Sarbananda Sonowal (18Ls),66,49,2,52900000.0,0.0,1079591.836734694,0.03,0.0
lok_sabha,Bihar,Abhay Kumar Sinha,75,59,21,35019273.0,0.0,593547.0,0.28,0.0
lok_sabha,Bihar,Ajay Kumar Mandal,20,19,12,21504101.0,0.0,1131794.7894736843,0.6,0.0
lok_sabha,Bihar,Alok Kumar Suman,31,26,9,19477571.0,0.0,749137.3461538461,0.29,0.0
lok_sabha,Bihar,Arun Bharti,36,36,30,25598044.0,0.0,711056.7777777778,0.833,0.0
lok_sabha,Bihar,Ashok Kumar Yadav,152,127,52,69633602.0,0.0,548296.0787401575,0.342,0.0
lok_sabha,Bihar,Chirag Paswan,79,65,40,63927324.0,0.0,983497.2923076923,0.506,0.0
lok_sabha,Bihar,Devesh Chandra Thakur,71,50,33,29721476.0,0.0,594429.52,0.465,0.0
lok_sabha,Bihar,Dileshwar Kamait,31,22,15,34500530.0,0.0,1568205.9090909092,0.484,0.0
lok_sabha,Bihar,Dinesh Chandra Yadav,95,90,61,74969440.0,0.0,832993.7777777778,0.642,0.0
lok_sabha,Bihar,Giridhari Yadav,57,48,41,59930111.0,0.0,1248543.9791666667,0.719,0.0
